D/T,Julian Day,Month,AAT,WS,WD,RH,SR,Agitation,Ag,P,NH3_g/m2/s,NH3_mg/m2/d,Crust
9/18/08 0:45,261.03,9,17.33,0.30,211.10,84.50,0.00,0,0,99.20,,,0
9/18/08 1:15,261.05,9,16.22,0.30,183.40,88.30,0.00,0,0,99.20,,,0
9/18/08 1:45,261.07,9,17.00,0.60,317.50,82.20,0.00,0,0,99.30,,,0
9/18/08 2:15,261.09,9,17.48,0.40,305.20,82.80,0.00,0,0,99.40,,,0
9/18/08 2:45,261.11,9,16.02,0.77,348.95,85.90,0.00,0,0,99.30,,,0
9/18/08 3:15,261.14,9,14.83,1.14,6.95,88.80,0.00,0,0,99.40,,,0
9/18/08 3:45,261.16,9,16.22,1.53,351.89,83.00,0.00,0,0,99.50,,,0
9/18/08 4:15,261.18,9,16.97,1.83,352.01,83.60,0.00,0,0,99.50,,,0
9/18/08 4:45,261.20,9,16.36,2.04,354.30,84.70,0.00,0,0,99.50,,,0
9/18/08 5:15,261.22,9,16.05,1.51,353.20,87.10,0.00,0,0,99.50,,,0
9/18/08 5:45,261.24,9,14.39,0.98,352.75,89.50,0.00,0,0,99.50,,,0
9/18/08 6:15,261.26,9,14.59,1.45,347.19,93.50,0.00,0,0,99.50,,,0
9/18/08 6:45,261.28,9,14.19,0.80,352.47,90.80,0.00,0,0,99.50,,,0
9/18/08 7:15,261.30,9,12.70,0.39,312.54,93.90,0.00,0,0,99.50,,,0
9/18/08 7:45,261.32,9,12.59,0.58,327.53,94.70,0.00,0,0,99.50,,,0
9/18/08 8:15,261.34,9,12.39,0.63,4.31,95.20,0.00,0,0,99.50,,,0
9/18/08 8:45,261.36,9,12.12,0.81,21.15,95.60,0.00,0,0,99.50,,,0
9/18/08 9:15,261.39,9,13.41,1.41,37.27,97.10,0.00,0,0,99.60,,,0
9/18/08 9:45,261.41,9,13.48,1.75,47.94,97.30,0.00,0,0,99.60,,,0
9/18/08 10:15,261.43,9,13.27,2.62,58.70,97.30,0.00,0,0,99.60,,,0
9/18/08 10:45,261.45,9,13.31,2.77,60.94,97.30,0.00,0,0,99.70,,,0
9/18/08 11:15,261.47,9,13.24,2.67,61.34,93.30,0.63,0,0,99.70,,,0
9/18/08 11:45,261.49,9,13.10,2.28,60.84,91.90,14.18,0,0,99.70,,,0
9/18/08 12:15,261.51,9,13.78,2.22,58.01,89.80,82.90,0,0,99.80,,,0
9/18/08 12:45,261.53,9,14.53,2.72,61.18,86.60,161.80,0,0,99.80,,,0
9/18/08 13:15,261.55,9,15.07,3.33,65.33,84.90,148.10,0,0,99.80,0.00,10052.97,0
9/18/08 13:45,261.57,9,16.26,3.84,83.93,79.99,330.70,0,0,99.90,0.00,7683.50,0
9/18/08 14:15,261.59,9,16.96,4.42,87.04,75.68,424.90,0,0,99.90,-0.00,0.00,0
9/18/08 14:45,261.61,9,17.74,4.42,87.04,66.49,514.50,0,0,99.90,,,0
9/18/08 15:15,261.64,9,18.62,4.42,87.04,63.57,589.40,0,0,99.90,,,0
9/18/08 15:45,261.66,9,19.74,4.42,87.04,61.74,652.70,0,0,99.90,,,0
9/18/08 16:15,261.68,9,20.52,4.42,87.04,54.04,701.40,0,0,99.90,,,0
9/18/08 16:45,261.70,9,21.06,4.42,87.04,51.40,740.20,0,0,99.90,,,0
9/18/08 17:15,261.72,9,21.47,4.42,87.04,51.03,758.30,0,0,99.90,,,0
9/18/08 17:45,261.74,9,22.15,4.42,87.04,53.40,763.90,0,0,99.80,,,0
9/18/08 18:15,261.76,9,22.35,4.42,87.04,50.25,753.00,0,0,99.80,,,0
9/18/08 18:45,261.78,9,22.89,4.42,87.04,48.31,719.40,0,0,99.80,,,0
9/18/08 19:15,261.80,9,22.82,4.42,87.04,47.23,643.80,0,0,99.80,,,0
9/18/08 19:45,261.82,9,23.10,4.42,87.04,44.55,636.30,0,0,99.70,,,0
9/18/08 20:15,261.84,9,23.47,3.89,67.24,42.28,576.40,0,0,99.70,0.00,3037.58,0
9/18/08 20:45,261.86,9,23.60,3.98,74.03,44.01,505.70,0,0,99.70,0.00,4932.28,0
9/18/08 21:15,261.89,9,23.16,3.75,67.13,45.16,364.90,0,0,99.70,0.00,4078.40,0
9/18/08 21:45,261.91,9,23.03,3.94,61.60,43.02,313.50,0,0,99.70,0.00,3492.39,0
9/18/08 22:15,261.93,9,22.82,3.39,70.67,40.89,250.20,0,0,99.70,,,0
9/18/08 22:45,261.95,9,22.28,3.05,72.66,49.26,160.00,0,0,99.70,,,0
9/18/08 23:15,261.97,9,20.93,2.47,64.07,53.23,69.91,0,0,99.60,,,0
9/18/08 23:45,261.99,9,18.59,1.76,60.49,69.16,9.64,0,0,99.60,,,0
9/19/08 0:15,262.01,9,16.79,1.78,61.59,77.54,0.00,0,0,99.60,,,0
9/19/08 0:45,262.03,9,16.83,2.18,63.77,72.87,0.00,0,0,99.70,,,0
9/19/08 1:15,262.05,9,16.09,2.01,67.72,72.53,0.00,0,0,99.70,,,0
9/19/08 1:45,262.07,9,15.68,1.91,73.37,71.65,0.00,0,0,99.70,,,0
9/19/08 2:15,262.09,9,15.61,2.22,83.62,71.41,0.00,0,0,99.70,,,0
9/19/08 2:45,262.11,9,14.80,2.35,88.34,72.30,0.00,0,0,99.70,,,0
9/19/08 3:15,262.14,9,15.41,2.67,96.52,65.68,0.00,0,0,99.70,-0.00,0.00,0
9/19/08 3:45,262.16,9,14.93,2.08,101.85,68.46,0.00,0,0,99.80,-0.00,0.00,0
9/19/08 4:15,262.18,9,13.54,1.58,98.79,77.21,0.00,0,0,99.70,,,0
9/19/08 4:45,262.20,9,13.17,1.85,99.42,78.84,0.00,0,0,99.70,,,0
9/19/08 5:15,262.22,9,13.21,1.69,104.18,75.62,0.00,0,0,99.70,,,0
9/19/08 5:45,262.24,9,12.84,1.60,107.00,76.71,0.00,0,0,99.70,,,0
9/19/08 6:15,262.26,9,12.94,2.00,104.02,77.63,0.00,0,0,99.70,,,0
9/19/08 6:45,262.28,9,12.80,1.88,102.53,78.88,0.00,0,0,99.70,-0.00,0.00,0
9/19/08 7:15,262.30,9,12.40,1.76,102.33,80.30,0.00,0,0,99.70,-0.00,0.00,0
9/19/08 7:45,262.32,9,11.99,2.03,105.73,81.70,0.00,0,0,99.70,,,0
9/19/08 8:15,262.34,9,11.55,1.85,108.37,82.30,0.00,0,0,99.70,,,0
9/19/08 8:45,262.36,9,11.65,1.92,105.62,82.50,0.00,0,0,99.70,-0.00,0.00,0
9/19/08 9:15,262.39,9,11.11,1.64,106.25,83.20,0.00,0,0,99.70,,,0
9/19/08 9:45,262.41,9,10.67,1.72,115.88,84.70,0.00,0,0,99.70,,,0
9/19/08 10:15,262.43,9,10.98,1.90,109.93,83.90,0.00,0,0,99.70,,,0
9/19/08 10:45,262.45,9,10.70,1.70,101.51,84.50,0.00,0,0,99.70,-0.00,0.00,0
9/19/08 11:15,262.47,9,10.16,1.39,94.06,88.70,0.85,0,0,99.70,,,0
9/19/08 11:45,262.49,9,9.96,1.41,91.23,90.00,13.62,0,0,99.70,,,0
9/19/08 12:15,262.51,9,10.84,1.29,107.30,85.00,93.10,0,0,99.80,,,0
9/19/08 12:45,262.53,9,12.46,1.78,108.25,77.96,157.60,0,0,99.80,,,0
9/19/08 13:15,262.55,9,13.58,1.78,111.68,76.16,259.90,0,0,99.80,,,0
9/19/08 13:45,262.57,9,15.14,2.19,133.22,70.84,387.50,0,0,99.80,,,0
9/19/08 14:15,262.59,9,16.25,2.20,140.38,66.49,456.50,0,0,99.80,,,0
9/19/08 14:45,262.61,9,18.25,1.69,142.90,63.74,528.90,0,0,99.80,-0.00,0.00,0
9/19/08 15:15,262.64,9,19.33,1.72,169.47,59.47,548.10,0,0,99.70,-0.00,0.00,0
9/19/08 15:45,262.66,9,20.62,1.73,165.62,55.16,596.80,0,0,99.70,0.00,3074.99,0
9/19/08 16:15,262.68,9,21.64,0.90,171.80,56.62,695.20,0,0,99.70,0.00,446.54,0
9/19/08 16:45,262.70,9,22.96,0.90,194.70,50.21,484.90,0,0,99.70,0.00,279.74,0
9/19/08 17:15,262.72,9,23.84,1.14,167.27,44.18,621.40,0,0,99.60,0.00,785.12,0
9/19/08 17:45,262.74,9,24.07,0.63,136.21,46.11,818.00,0,0,99.60,,,0
9/19/08 18:15,262.76,9,24.72,1.10,73.75,43.94,686.80,0,0,99.60,0.00,925.04,0
9/19/08 18:45,262.78,9,24.62,0.58,81.57,36.38,620.90,0,0,99.50,0.00,288.61,0
9/19/08 19:15,262.80,9,25.16,0.78,184.12,37.05,569.60,0,0,99.50,,,0
9/19/08 19:45,262.82,9,25.56,0.76,132.77,36.38,588.50,0,0,99.40,,,0
9/19/08 20:15,262.84,9,24.85,0.60,209.80,39.90,381.50,0,0,99.40,0.00,116.90,0
9/19/08 20:45,262.86,9,25.50,0.30,61.80,40.38,312.40,0,0,99.40,,,0
9/19/08 21:15,262.89,9,25.03,1.03,81.72,44.58,336.70,0,0,99.30,-0.00,0.00,0
9/19/08 21:45,262.91,9,24.42,1.60,60.20,45.91,150.60,0,0,99.30,,,0
9/19/08 22:15,262.93,9,24.25,1.30,63.30,51.74,167.10,0,0,99.30,,,0
9/19/08 22:45,262.95,9,22.89,1.20,71.80,58.35,80.30,0,0,99.30,,,0
9/19/08 23:15,262.97,9,21.84,1.10,77.70,68.49,59.33,0,0,99.30,,,0
9/19/08 23:45,262.99,9,20.04,1.49,67.45,72.15,7.44,0,0,99.30,0.00,1873.63,0
9/20/08 0:15,263.01,9,18.21,0.85,70.30,82.80,0.00,0,0,99.30,,,0
9/20/08 0:45,263.03,9,16.90,1.25,71.50,84.20,0.00,0,0,99.30,,,0
9/20/08 1:15,263.05,9,16.39,1.18,76.73,85.00,0.00,0,0,99.30,,,0
9/20/08 1:45,263.07,9,15.75,1.23,76.97,89.20,0.00,0,0,99.30,,,0
9/20/08 2:15,263.09,9,15.68,1.26,80.09,84.50,0.00,0,0,99.30,,,0
9/20/08 2:45,263.11,9,14.83,1.33,83.00,85.60,0.00,0,0,99.30,,,0
9/20/08 3:15,263.14,9,15.14,1.12,87.59,80.50,0.00,0,0,99.30,,,0
9/20/08 3:45,263.16,9,14.76,0.50,92.63,83.00,0.00,0,0,99.40,,,0
9/20/08 4:15,263.18,9,14.15,0.80,83.25,91.10,0.00,0,0,99.30,,,0
9/20/08 4:45,263.20,9,13.65,0.86,89.58,92.00,0.00,0,0,99.30,,,0
9/20/08 5:15,263.22,9,13.27,0.67,98.71,89.40,0.00,0,0,99.30,,,0
9/20/08 5:45,263.24,9,13.14,0.34,76.62,90.60,0.00,0,0,99.30,,,0
9/20/08 6:15,263.26,9,12.57,0.44,70.85,90.60,0.00,0,0,99.30,,,0
9/20/08 6:45,263.28,9,12.13,0.13,36.97,90.80,0.00,0,0,99.30,,,0
9/20/08 7:15,263.30,9,11.25,0.12,263.96,93.30,0.00,0,0,99.30,,,0
9/20/08 7:45,263.32,9,11.48,0.60,56.08,94.20,0.00,0,0,99.30,,,0
9/20/08 8:15,263.34,9,11.08,0.53,55.37,94.20,0.00,0,0,99.30,,,0
9/20/08 8:45,263.36,9,10.91,0.30,317.47,94.30,0.00,0,0,99.30,,,0
9/20/08 9:15,263.39,9,10.43,0.32,192.93,94.30,0.00,1,0,99.30,,,0
9/20/08 9:45,263.41,9,10.87,0.21,166.32,94.70,0.00,1,0,99.30,,,0
9/20/08 10:15,263.43,9,11.38,0.24,145.39,94.60,0.00,1,0,99.40,,,0
9/20/08 10:45,263.45,9,10.91,0.46,128.62,94.40,0.00,1,0,99.40,,,0
9/20/08 11:15,263.47,9,11.31,0.32,102.32,94.80,0.00,1,0,99.40,,,0
9/20/08 11:45,263.49,9,11.45,0.43,134.89,94.70,6.27,1,0,99.40,,,0
9/20/08 12:15,263.51,9,12.32,0.32,52.44,94.60,36.83,1,0,99.50,,,0
9/20/08 12:45,263.53,9,13.41,0.62,85.87,92.00,93.50,1,0,99.50,,,0
9/20/08 13:15,263.55,9,15.82,0.36,92.84,84.50,214.80,0,0,99.50,,,0
9/20/08 13:45,263.57,9,18.80,0.14,173.88,74.06,329.60,0,0,99.50,,,0
9/20/08 14:15,263.59,9,20.96,0.27,226.99,70.89,370.60,0,0,99.50,,,0
9/20/08 14:45,263.61,9,22.42,0.80,353.70,65.47,448.00,0,0,99.50,0.00,3508.52,0
9/20/08 15:15,263.64,9,23.60,0.82,340.10,63.40,517.40,0,0,99.50,0.00,2668.38,0
9/20/08 15:45,263.66,9,24.48,1.56,349.50,59.06,697.00,0,0,99.50,0.00,4246.24,0
9/20/08 16:15,263.68,9,24.65,1.70,347.94,54.14,644.00,0,0,99.50,0.00,4862.00,0
9/20/08 16:45,263.70,9,24.88,2.17,354.62,48.51,711.30,0,0,99.50,0.00,3035.62,0
9/20/08 17:15,263.72,9,24.85,2.02,13.70,51.39,716.40,0,0,99.40,0.00,4066.10,0
9/20/08 17:45,263.74,9,26.04,1.37,52.47,54.18,724.70,0,0,99.40,0.00,12223.03,0
9/20/08 18:15,263.76,9,25.67,1.37,53.59,48.34,474.20,0,0,99.40,0.00,15793.51,0
9/20/08 18:45,263.78,9,27.02,0.27,333.76,40.48,709.60,0,0,99.40,,,0
9/20/08 19:15,263.80,9,27.22,0.29,271.48,38.51,725.90,0,0,99.30,,,0
9/20/08 19:45,263.82,9,27.60,0.54,59.72,35.32,621.30,0,0,99.30,-0.00,0.00,0
9/20/08 20:15,263.84,9,27.56,1.10,145.60,38.10,606.50,0,0,99.30,,,0
9/20/08 20:45,263.86,9,27.87,0.60,199.90,36.99,516.60,0,0,99.30,,,0
9/20/08 21:15,263.89,9,28.42,0.30,354.30,32.92,438.80,0,0,99.30,,,0
9/20/08 21:45,263.91,9,26.48,1.70,20.20,39.73,302.30,0,0,99.30,,,0
9/20/08 22:15,263.93,9,25.84,1.80,52.90,45.87,210.00,0,0,99.30,,,0
9/20/08 22:45,263.95,9,24.59,0.51,68.42,52.59,100.10,0,0,99.30,,,0
9/20/08 23:15,263.97,9,22.11,0.60,226.50,72.11,27.24,0,0,99.30,,,0
9/20/08 23:45,263.99,9,21.60,1.02,286.78,71.44,3.04,0,0,99.30,,,0
9/21/08 0:15,264.01,9,18.99,0.60,226.00,82.20,0.00,0,0,99.30,,,0
9/21/08 0:45,264.03,9,18.15,0.70,247.82,83.60,0.00,0,0,99.30,,,0
9/21/08 1:15,264.05,9,16.83,0.90,203.50,89.90,0.00,0,0,99.40,,,0
9/21/08 1:45,264.07,9,17.51,0.60,213.50,82.50,0.00,0,0,99.40,,,0
9/21/08 2:15,264.09,9,17.21,0.83,223.48,86.60,0.00,0,0,99.40,,,0
9/21/08 2:45,264.11,9,16.53,0.00,223.48,86.70,0.00,0,0,99.40,,,0
9/21/08 3:15,264.14,9,16.83,0.96,272.89,85.40,0.00,0,0,99.40,,,0
9/21/08 3:45,264.16,9,15.65,0.81,279.35,86.50,0.00,0,0,99.50,,,0
9/21/08 4:15,264.18,9,15.75,0.70,273.11,88.00,0.00,0,0,99.50,,,0
9/21/08 4:45,264.20,9,15.51,0.57,307.56,88.00,0.00,0,0,99.50,,,0
9/21/08 5:15,264.22,9,15.41,0.41,313.87,87.70,0.00,0,0,99.50,,,0
9/21/08 5:45,264.24,9,14.66,0.51,1.57,93.20,0.00,0,0,99.50,,,0
9/21/08 6:15,264.26,9,13.98,0.46,324.95,93.00,0.00,0,0,99.50,,,0
9/21/08 6:45,264.28,9,13.58,0.34,354.32,93.80,0.00,0,0,99.50,,,0
9/21/08 7:15,264.30,9,13.24,1.22,214.50,94.50,0.00,0,0,99.50,,,0
9/21/08 7:45,264.32,9,13.68,0.47,240.05,94.50,0.00,0,0,99.50,,,0
9/21/08 8:15,264.34,9,13.51,0.22,257.00,94.60,0.00,0,0,99.50,,,0
9/21/08 8:45,264.36,9,13.17,0.31,313.91,94.80,0.00,0,0,99.50,,,0
9/21/08 9:15,264.39,9,12.09,0.92,252.26,94.90,0.00,0,0,99.50,,,0
9/21/08 9:45,264.41,9,12.84,0.95,275.83,95.60,0.00,0,0,99.60,,,0
9/21/08 10:15,264.43,9,12.60,0.12,306.60,95.80,0.00,0,0,99.60,,,0
9/21/08 10:45,264.45,9,12.84,0.45,17.12,96.20,0.00,0,0,99.60,,,0
9/21/08 11:15,264.47,9,12.29,0.67,35.57,97.10,0.21,0,0,99.60,,,0
9/21/08 11:45,264.49,9,12.43,0.51,17.91,97.30,13.38,0,0,99.60,,,0
9/21/08 12:15,264.51,9,12.94,0.46,8.20,97.90,68.20,0,0,99.70,,,0
9/21/08 12:45,264.53,9,15.21,0.71,23.06,97.70,144.60,0,0,99.70,,,0
9/21/08 13:15,264.55,9,17.51,1.25,29.05,86.10,231.60,0,0,99.70,,,0
9/21/08 13:45,264.57,9,19.40,1.70,48.80,77.40,324.50,0,0,99.70,0.00,3065.15,0
9/21/08 14:15,264.59,9,20.38,1.40,73.60,73.37,315.80,0,0,99.80,0.00,1194.19,0
9/21/08 14:45,264.61,9,20.89,1.24,94.39,74.89,286.70,0,0,99.80,,,0
9/21/08 15:15,264.64,9,22.69,1.30,72.20,64.72,544.30,0,0,99.80,0.00,1907.78,0
9/21/08 15:45,264.66,9,23.33,1.70,65.70,60.15,623.00,0,0,99.80,0.00,1401.87,0
9/21/08 16:15,264.68,9,24.28,1.80,82.20,56.62,649.60,0,0,99.80,-0.00,0.00,0
9/21/08 16:45,264.70,9,24.76,2.40,68.13,51.64,709.20,0,0,99.70,0.00,4571.48,0
9/21/08 17:15,264.72,9,25.10,3.01,75.82,50.48,684.60,0,0,99.70,0.00,7916.92,0
9/21/08 17:45,264.74,9,25.13,2.82,78.11,51.13,435.10,0,0,99.70,-0.00,0.00,0
9/21/08 18:15,264.76,9,25.74,1.74,100.46,48.48,516.00,0,0,99.70,-0.00,0.00,0
9/21/08 18:45,264.78,9,25.94,1.79,95.62,43.33,571.50,0,0,99.70,0.00,545.24,0
9/21/08 19:15,264.80,9,26.35,1.68,84.86,46.52,548.60,0,0,99.60,,,0
9/21/08 19:45,264.82,9,26.69,2.00,58.90,39.29,636.50,0,0,99.60,0.00,4212.73,0
9/21/08 20:15,264.84,9,26.72,2.30,86.00,32.07,482.90,0,0,99.60,0.00,3855.15,0
9/21/08 20:45,264.86,9,26.38,2.10,54.90,37.19,216.60,0,0,99.60,0.00,7687.55,0
9/21/08 21:15,264.89,9,26.59,1.30,36.00,41.43,227.40,0,0,99.60,,,0
9/21/08 21:45,264.91,9,25.50,1.10,353.50,45.53,173.50,0,0,99.60,,,0
9/21/08 22:15,264.93,9,25.03,1.10,19.80,48.25,141.60,0,0,99.60,0.00,3013.48,0
9/21/08 22:45,264.95,9,25.23,1.70,44.00,52.55,119.00,0,0,99.60,,,0
9/21/08 23:15,264.97,9,23.84,1.00,61.00,64.15,38.66,0,0,99.60,0.00,636.60,0
9/21/08 23:45,264.99,9,21.33,0.30,59.40,75.03,3.20,0,0,99.60,,,0
9/22/08 0:15,265.01,9,20.18,0.66,39.36,74.05,0.00,0,0,99.70,,,0
9/22/08 0:45,265.03,9,19.10,0.63,43.82,85.10,0.00,0,0,99.70,,,0
9/22/08 1:15,265.05,9,18.35,1.00,61.10,82.30,0.00,0,0,99.70,,,0
9/22/08 1:45,265.07,9,17.44,0.30,41.20,87.40,0.00,0,0,99.70,,,0
9/22/08 2:15,265.09,9,17.14,0.70,64.50,90.50,0.00,0,0,99.70,,,0
9/22/08 2:45,265.11,9,18.83,2.81,87.19,74.53,0.00,0,0,99.70,,,0
9/22/08 3:15,265.14,9,18.49,2.65,84.22,75.69,0.00,0,0,99.80,,,0
9/22/08 3:45,265.16,9,17.75,2.67,77.48,79.14,0.00,0,0,99.80,,,0
9/22/08 4:15,265.18,9,17.27,2.89,84.83,83.10,0.00,0,0,99.80,,,0
9/22/08 4:45,265.20,9,16.90,2.84,83.22,84.10,0.00,0,0,99.80,,,0
9/22/08 5:15,265.22,9,16.56,2.57,84.67,86.40,0.00,0,0,99.80,,,0
9/22/08 5:45,265.24,9,16.43,2.57,81.60,87.90,0.00,0,0,99.80,,,0
9/22/08 6:15,265.26,9,16.09,2.46,82.93,89.70,0.00,0,0,99.80,,,0
9/22/08 6:45,265.28,9,15.75,2.73,84.84,90.60,0.00,0,0,99.80,,,0
9/22/08 7:15,265.30,9,15.78,2.42,88.07,91.10,0.00,0,0,99.80,,,0
9/22/08 7:45,265.32,9,15.61,2.70,80.02,91.40,0.00,0,0,99.80,,,0
9/22/08 8:15,265.34,9,15.34,3.19,83.04,92.10,0.00,0,0,99.80,-0.00,0.00,0
9/22/08 8:45,265.36,9,15.24,3.29,84.73,92.20,0.00,0,0,99.80,-0.00,0.00,0
9/22/08 9:15,265.39,9,15.27,3.05,86.71,92.10,0.00,0,0,99.80,-0.00,0.00,0
9/22/08 9:45,265.41,9,15.10,3.41,86.25,92.20,0.00,0,0,99.80,,,0
9/22/08 10:15,265.43,9,15.00,3.69,86.97,92.50,0.00,0,0,99.90,-0.00,0.00,0
9/22/08 10:45,265.45,9,14.90,3.89,80.70,93.20,0.00,0,0,99.90,-0.00,0.00,0
9/22/08 11:15,265.47,9,14.56,3.34,84.89,93.50,0.05,0,0,99.90,-0.00,0.00,0
9/22/08 11:45,265.49,9,14.63,2.91,88.64,92.80,9.13,0,0,99.90,-0.00,0.00,0
9/22/08 12:15,265.51,9,14.87,3.37,86.89,92.20,53.22,0,0,100.00,,,0
